churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,dirty_row_flag,dirty_row_reason,refund_amount_clean
C-000001,A-5790f4,26-12-2024,support,51.18,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",51.18
C-000002,A-b7724f,25-08-2023,unknown,52.88,FALSE,FALSE,FALSE,missing features,False,,52.88
C-000003,A-bb1eaa,15-08-2024,pricing,0,FALSE,TRUE,FALSE,too expensive,False,,0.0
C-000004,A-3be56b,10-01-2024,competitor,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000005,A-b54c01,23-10-2024,budget,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-000006,A-8e47ca,01-06-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-000007,A-bf7919,17-12-2024,features,0,FALSE,TRUE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000008,A-65aeb5,02-12-2024,budget,0,TRUE,FALSE,TRUE,missing features,False,,0.0
C-000009,A-84ebe4,05-01-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-00000a,A-78f02b,02-12-2024,,0,FALSE,FALSE,FALSE,missing features,True,"[""blank_reason_code""]",0.0
C-00000b,A-cdf020,08-12-2023,,105.26,FALSE,FALSE,FALSE,too expensive,True,"[""blank_reason_code""]",105.26
C-00000c,A-c222ab,14-06-2024,budget,4.52,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",4.52
C-00000d,A-b07346,12-11-2024,budget,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-00000e,A-0baac2,30-09-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-00000f,A-6f50ae,06-11-2023,,0,FALSE,FALSE,FALSE,missing features,True,"[""blank_reason_code""]",0.0
C-000010,A-dbc825,03-02-2024,,0,FALSE,FALSE,FALSE,,True,"[""blank_reason_code"", ""blank_feedback_text""]",0.0
C-000011,A-7988d1,19-06-2024,competitor,16.89,FALSE,FALSE,FALSE,too expensive,False,,16.89
C-000012,A-b30291,03-09-2024,competitor,277.54,FALSE,TRUE,FALSE,too expensive,False,,277.54
C-000013,A-098560,04-09-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-000014,A-18793f,30-12-2024,,25.41,TRUE,FALSE,FALSE,,True,"[""blank_reason_code"", ""blank_feedback_text""]",25.41
C-000015,A-b7ef83,24-07-2024,budget,60.25,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",60.25
C-000016,A-05f0e5,25-11-2024,,72.19,TRUE,FALSE,FALSE,,True,"[""blank_reason_code"", ""blank_feedback_text""]",72.19
C-000017,A-702032,14-06-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-000018,A-31ab9a,23-09-2024,competitor,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-000019,A-3b5cd1,21-01-2024,,0,TRUE,FALSE,FALSE,missing features,True,"[""blank_reason_code""]",0.0
C-00001a,A-b2af2e,14-11-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-00001b,A-fd7ad3,23-11-2024,,0,FALSE,FALSE,FALSE,too expensive,True,"[""blank_reason_code""]",0.0
C-00001c,A-05d3b3,09-09-2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-00001d,A-4e0e85,16-11-2023,competitor,0,FALSE,TRUE,FALSE,too expensive,False,,0.0
C-00001e,A-dfbd31,01-01-2024,features,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-00001f,A-44dc83,29-11-2024,,98.48,FALSE,TRUE,FALSE,missing features,True,"[""blank_reason_code""]",98.48
C-000020,A-3f9cc0,18-07-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000021,A-e83938,29-12-2024,budget,13.5,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",13.5
C-000022,A-0a282f,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-000023,A-4e44e8,11-10-2024,,0,FALSE,FALSE,TRUE,switched to competitor,True,"[""blank_reason_code""]",0.0
C-000024,A-9b9fe9,27-12-2023,,27.92,FALSE,FALSE,FALSE,,True,"[""blank_reason_code"", ""blank_feedback_text""]",27.92
C-000025,A-ab438f,02-12-2024,budget,0,TRUE,TRUE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000026,A-54ecc2,23-11-2024,support,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000027,A-038089,21-10-2024,competitor,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-000028,A-151c9a,04-11-2023,,-35.6,FALSE,FALSE,FALSE,missing features,True,"[""negative_refund_amount_usd"", ""blank_reason_code""]",35.6
C-000029,A-53f4e3,06-12-2024,competitor,0,FALSE,TRUE,TRUE,too expensive,False,,0.0
C-00002a,A-c16101,13-11-2024,,0,FALSE,FALSE,TRUE,,True,"[""blank_reason_code"", ""blank_feedback_text""]",0.0
C-020446,A-0cc442,06-10-2024,unknown,0,TRUE,FALSE,TRUE,switched to competitor,False,,0.0
C-025044,A-098560,04-09-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-02604c,A-9208f0,09-11-2024,features,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-02719d,A-5247b3,12-10-2024,support,28.84,FALSE,TRUE,FALSE,missing features,False,,28.84
C-02a354,A-ccb686,24-11-2024,competitor,25.92,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",25.92
C-02f4fa,A-ae052e,13-11-2024,unknown,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-033d73,A-ffc04f,03-08-2024,unknown,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-0340b2,A-029f69,31-10-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-035985,A-6da850,15-01-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-043665,A-b2225d,27-06-2024,budget,0,FALSE,FALSE,TRUE,,True,"[""blank_feedback_text""]",0.0
C-049f10,A-271f46,04-03-2023,support,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-05224a,A-f17767,03-05-2023,pricing,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-056c32,A-1e6fc3,20-03-2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
