subscription_id,account_id,start_date,end_date,start_month,end_month,subscription_age_days,subscription_age_months,mrr_clean,arr_clean,lifetime_mrr,churned_mrr,is_churned,churn_date,churn_month,plan_tier,seat_bucket,seats,rev_change_flag,subscription_status,is_new,is_upgrade,is_downgrade,dirty_row_flag,dirty_row_reason,dirty_row_reason_count
S-00000f,A-700ade,2024-11-20,2024-12-04,2024-11,2024-12,14,1,1791.0,21492.0,1791.0,1791.0,True,,NaT,Enterprise,01_to_10,9,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00002a,A-54d94a,2024-02-24,,2024-02,NaT,663,22,1323.0,15876.0,29106.0,1323.0,True,,NaT,Pro,26_to_50,27,contraction,churned,False,False,True,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000047,A-de24d5,2024-12-09,2024-12-21,2024-12,2024-12,12,0,3773.0,45276.0,0.0,3773.0,True,,NaT,Pro,50+,77,unchanged,churned,False,False,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-00008a,A-bc4d48,2024-11-28,,2024-11,NaT,385,13,6965.0,83580.0,90545.0,6965.0,True,,NaT,Enterprise,26_to_50,35,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00008b,A-443b7c,2024-11-13,2024-11-21,2024-11,2024-11,8,0,0.0,0.0,0.0,0.0,True,,NaT,Pro,26_to_50,39,unchanged,churned,False,False,False,False,,0
S-00009e,A-0aaf6e,2024-12-07,2024-12-15,2024-12,2024-12,8,0,588.0,7056.0,0.0,588.0,True,,NaT,Pro,11_to_25,12,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-0000a7,A-69b156,2024-04-15,2024-07-09,2024-04,2024-07,85,3,343.0,4116.0,1029.0,343.0,True,,NaT,Pro,01_to_10,7,unchanged,churned,False,False,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-0000d6,A-6c093d,2024-03-08,2024-09-19,2024-03,2024-09,195,6,343.0,4116.0,2058.0,343.0,True,,NaT,Pro,01_to_10,7,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-0000df,A-e89151,2024-11-14,,2024-11,NaT,399,13,1519.0,18228.0,19747.0,1519.0,True,,NaT,Pro,26_to_50,31,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-0000f0,A-fabe19,2024-12-12,2024-12-27,2024-12,2024-12,15,0,6368.0,76416.0,0.0,6368.0,True,,NaT,Enterprise,26_to_50,32,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000107,A-139c3b,2024-11-28,,2024-11,NaT,385,13,551.0,6612.0,7163.0,551.0,True,,NaT,Basic,26_to_50,29,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00010f,A-7920cc,2024-03-11,,2024-03,NaT,647,21,10746.0,128952.0,225666.0,10746.0,True,,NaT,Enterprise,50+,54,unchanged,churned,False,False,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-00013c,A-4a4c2d,2023-07-03,2024-01-25,2023-07,2024-01,206,6,1026.0,12312.0,6156.0,1026.0,True,,NaT,Basic,50+,54,unchanged,churned,True,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000142,A-1b7577,2024-11-26,2024-12-06,2024-11,2024-12,10,1,76.0,912.0,76.0,76.0,True,,NaT,Basic,01_to_10,4,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-008f3c,A-e98302,2024-12-23,2024-12-28,2024-12,2024-12,5,0,2842.0,34104.0,0.0,2842.0,True,,NaT,Pro,50+,58,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-017e33,A-f9cc74,2024-11-08,2024-11-25,2024-11,2024-11,17,0,1007.0,12084.0,0.0,1007.0,True,,NaT,Basic,50+,53,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
