account_id,account_name,signup_date,churn_date,total_mrr,total_arr,avg_mrr,max_mrr,lifetime_gross_mrr,total_churned_mrr,num_subscriptions_lifetime,num_active_subscriptions,num_churns,lifetime_days,total_usage_count,avg_monthly_active_features,ticket_count,tickets_90_days,avg_resolution_hours,avg_satisfaction,avg_priority_score,escalated_tickets,escalation_rate,tickets_per_active_subscription,usage_score,support_score,revenue_score,health_score,customer_segment,dirty_row_flag,dirty_row_reason,daily_usage_rate
A-000001,Company_361,2023-01-17,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000002,Company_73,2024-12-04,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000003,Company_374,2024-11-07,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""industry_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-000004,Company_394,2023-11-13,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000005,Company_377,2024-10-16,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000006,Company_124,2023-06-19,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""country_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-000007,Company_450,2023-03-22,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000008,Company_9,2023-05-08,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000009,Company_194,2024-06-14,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00000a,Company_371,2024-12-09,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00000b,Company_388,2024-12-31,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""industry_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-00000c,Company_495,2024-06-28,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00000d,Company_316,2024-10-22,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00000e,Company_490,2024-10-18,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00000f,Company_491,2024-01-22,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000010,Company_280,2024-09-06,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000011,Company_356,2023-05-28,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""country_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-000012,Company_76,2024-03-28,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000013,Company_211,2024-05-29,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000014,Company_101,2023-08-07,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000015,Company_334,2023-05-15,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000016,Company_336,2024-03-24,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000017,Company_173,2024-10-02,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""country_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-000018,Company_2,2024-08-27,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""country_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-000019,Company_333,2024-07-06,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00001a,Company_409,2023-09-08,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00001b,Company_209,2023-11-22,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00001c,Company_384,2023-01-27,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00001d,Company_93,2024-11-17,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-00001e,Company_485,2024-07-31,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""country_imputed"", ""native_churn_flag_true_but_no_event""]",0.0
A-00001f,Company_185,2024-11-21,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
A-000020,Company_33,2023-04-25,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.3,SMB,True,"[""native_churn_flag_true_but_no_event""]",0.0
