subscription_id,account_id,month,change_type,change_amount,mrr,prev_mrr
S-000002,A-bbc346,2024-09,new,3781.0,3781.0,0.0
S-000002,A-bbc346,2024-12,churn,-3781.0,0.0,3781.0
S-000003,A-781cc0,2024-09,new,646.0,646.0,0.0
S-000003,A-781cc0,2025-01,churn,-646.0,0.0,646.0
S-000004,A-9b9fe9,2024-08,new,245.0,245.0,0.0
S-000004,A-9b9fe9,2024-10,churn,-245.0,0.0,245.0
S-000005,A-faa28c,2024-06,new,9552.0,9552.0,0.0
S-000005,A-faa28c,2024-09,churn,-9552.0,0.0,9552.0
S-000006,A-dcc3f1,2024-10,new,4179.0,4179.0,0.0
S-000007,A-bb2f49,2024-12,new,152.0,152.0,0.0
S-000008,A-054577,2024-07,new,597.0,597.0,0.0
S-000009,A-d82ef9,2024-07,new,2842.0,2842.0,0.0
S-000009,A-d82ef9,2024-09,churn,-2842.0,0.0,2842.0
S-00000a,A-a33200,2024-11,new,1764.0,1764.0,0.0
S-00000b,A-a6d261,2023-12,new,171.0,171.0,0.0
S-00000b,A-a6d261,2024-04,churn,-171.0,0.0,171.0
S-00000c,A-dcc2f0,2023-11,new,2985.0,2985.0,0.0
S-00000c,A-dcc2f0,2024-05,churn,-2985.0,0.0,2985.0
S-00000d,A-82d8a6,2024-12,new,608.0,608.0,0.0
S-00000d,A-82d8a6,2025-01,churn,-608.0,0.0,608.0
S-00000e,A-9f9299,2024-04,new,532.0,532.0,0.0
S-00000e,A-9f9299,2024-11,churn,-532.0,0.0,532.0
S-00000f,A-700ade,2024-11,new,1791.0,1791.0,0.0
S-00000f,A-700ade,2025-01,churn,-1791.0,0.0,1791.0
S-000010,A-a8b49c,2024-03,new,1393.0,1393.0,0.0
S-000010,A-a8b49c,2024-07,churn,-1393.0,0.0,1393.0
S-000011,A-f03140,2024-07,new,722.0,722.0,0.0
S-000011,A-f03140,2024-11,churn,-722.0,0.0,722.0
S-000013,A-eb7c38,2024-09,new,2985.0,2985.0,0.0
S-000014,A-bcbe98,2024-10,new,9154.0,9154.0,0.0
S-000014,A-bcbe98,2024-12,churn,-9154.0,0.0,9154.0
S-000015,A-e61e98,2024-01,new,361.0,361.0,0.0
S-000015,A-e61e98,2024-11,churn,-361.0,0.0,361.0
S-000016,A-2bc93d,2024-03,new,1805.0,1805.0,0.0
S-000016,A-2bc93d,2024-09,churn,-1805.0,0.0,1805.0
S-000017,A-524364,2024-12,new,539.0,539.0,0.0
S-00001a,A-751c58,2024-10,new,2205.0,2205.0,0.0
S-00001a,A-751c58,2025-01,churn,-2205.0,0.0,2205.0
S-00001b,A-e6afc1,2024-08,new,98.0,98.0,0.0
S-00001c,A-ed510f,2024-04,new,8358.0,8358.0,0.0
S-00001d,A-9bfc9f,2024-01,new,1007.0,1007.0,0.0
S-00001e,A-b07b56,2024-11,new,1225.0,1225.0,0.0
S-00001e,A-b07b56,2025-01,churn,-1225.0,0.0,1225.0
S-00001f,A-625d0b,2024-11,new,441.0,441.0,0.0
S-000020,A-700ade,2024-11,new,133.0,133.0,0.0
S-000021,A-acb7f7,2024-02,new,6368.0,6368.0,0.0
S-000021,A-acb7f7,2024-04,churn,-6368.0,0.0,6368.0
S-000022,A-f03140,2024-07,new,5373.0,5373.0,0.0
S-000022,A-f03140,2024-11,churn,-5373.0,0.0,5373.0
S-000023,A-956988,2024-12,new,10945.0,10945.0,0.0
S-000023,A-956988,2025-01,churn,-10945.0,0.0,10945.0
S-000024,A-3932db,2023-12,new,437.0,437.0,0.0
S-000025,A-241e75,2024-09,new,266.0,266.0,0.0
S-000025,A-241e75,2025-01,churn,-266.0,0.0,266.0
S-000027,A-55f257,2024-08,new,4179.0,4179.0,0.0
S-000029,A-39ddf4,2024-12,new,1960.0,1960.0,0.0
S-00002a,A-54d94a,2024-02,new,1323.0,1323.0,0.0
S-00002b,A-aa9511,2024-02,new,19303.0,19303.0,0.0
S-00002c,A-0aaf6e,2024-12,new,3582.0,3582.0,0.0
S-00002d,A-832ec2,2024-04,new,228.0,228.0,0.0
S-00002d,A-832ec2,2024-10,churn,-228.0,0.0,228.0
S-00002e,A-eafc6e,2024-09,new,1323.0,1323.0,0.0
S-00002e,A-eafc6e,2025-01,churn,-1323.0,0.0,1323.0
S-00002f,A-ff79f2,2024-07,new,490.0,490.0,0.0
S-000030,A-8e47ca,2024-04,new,3781.0,3781.0,0.0
S-000030,A-8e47ca,2025-01,churn,-3781.0,0.0,3781.0
S-000031,A-55f257,2024-01,new,441.0,441.0,0.0
S-000032,A-0532a9,2024-09,new,361.0,361.0,0.0
S-000032,A-0532a9,2024-11,churn,-361.0,0.0,361.0
S-000033,A-432483,2023-12,new,11940.0,11940.0,0.0
S-000035,A-cc102e,2024-11,new,637.0,637.0,0.0
S-000035,A-cc102e,2024-12,churn,-637.0,0.0,637.0
S-000036,A-54ecc2,2023-11,new,76.0,76.0,0.0
S-000036,A-54ecc2,2024-12,churn,-76.0,0.0,76.0
S-000037,A-f19409,2024-12,new,665.0,665.0,0.0
S-000038,A-54ecc2,2024-10,new,5572.0,5572.0,0.0
S-000038,A-54ecc2,2024-12,churn,-5572.0,0.0,5572.0
S-000039,A-0b0d6d,2024-12,new,7164.0,7164.0,0.0
S-000039,A-0b0d6d,2025-01,churn,-7164.0,0.0,7164.0
S-00003a,A-7e0a10,2024-12,new,13930.0,13930.0,0.0
S-00003b,A-2e4581,2024-12,new,836.0,836.0,0.0
S-00003c,A-c42f1f,2024-11,new,532.0,532.0,0.0
S-00003d,A-855a48,2024-05,new,266.0,266.0,0.0
S-00003d,A-855a48,2024-09,churn,-266.0,0.0,266.0
S-00003e,A-e89151,2024-05,new,152.0,152.0,0.0
S-00003f,A-544d0a,2024-12,new,38.0,38.0,0.0
S-000040,A-bb1eaa,2024-07,new,399.0,399.0,0.0
S-000040,A-bb1eaa,2024-09,churn,-399.0,0.0,399.0
S-000041,A-bb1eaa,2024-12,new,1225.0,1225.0,0.0
S-000042,A-0532a9,2024-11,new,1029.0,1029.0,0.0
S-000043,A-bf7919,2024-12,new,735.0,735.0,0.0
S-000044,A-30b4ca,2024-05,new,17114.0,17114.0,0.0
S-000044,A-30b4ca,2024-10,churn,-17114.0,0.0,17114.0
S-000045,A-462d45,2024-01,new,1691.0,1691.0,0.0
S-000045,A-462d45,2024-06,churn,-1691.0,0.0,1691.0
S-000046,A-09316c,2024-11,new,3430.0,3430.0,0.0
S-000046,A-09316c,2025-01,churn,-3430.0,0.0,3430.0
S-000047,A-de24d5,2024-12,new,3773.0,3773.0,0.0
S-000047,A-de24d5,2025-01,churn,-3773.0,0.0,3773.0
S-000048,A-2d4502,2024-09,new,4378.0,4378.0,0.0
S-00004a,A-bb2f49,2024-06,new,1715.0,1715.0,0.0
S-00004b,A-2bc93d,2023-07,new,2786.0,2786.0,0.0
S-00004b,A-2bc93d,2024-09,churn,-2786.0,0.0,2786.0
S-00004c,A-7c4956,2024-08,new,1194.0,1194.0,0.0
S-00004d,A-856b1e,2023-12,new,1470.0,1470.0,0.0
S-00004e,A-034368,2024-11,new,551.0,551.0,0.0
S-00004f,A-f97b9a,2024-06,new,3184.0,3184.0,0.0
S-000050,A-94f8c9,2024-12,new,7164.0,7164.0,0.0
S-000051,A-ff3c73,2023-04,new,1254.0,1254.0,0.0
S-000051,A-ff3c73,2024-06,churn,-1254.0,0.0,1254.0
S-000052,A-cdf020,2024-10,new,4577.0,4577.0,0.0
S-000052,A-cdf020,2024-12,churn,-4577.0,0.0,4577.0
S-000053,A-2e4581,2024-12,new,5771.0,5771.0,0.0
S-000054,A-089363,2023-11,new,760.0,760.0,0.0
S-000054,A-089363,2023-12,churn,-760.0,0.0,760.0
S-000055,A-c9bb3e,2024-09,new,494.0,494.0,0.0
S-000055,A-c9bb3e,2024-11,churn,-494.0,0.0,494.0
S-000056,A-53f4e3,2024-12,new,247.0,247.0,0.0
S-000056,A-53f4e3,2025-01,churn,-247.0,0.0,247.0
S-000058,A-10b8f2,2024-01,new,893.0,893.0,0.0
S-000058,A-10b8f2,2024-07,churn,-893.0,0.0,893.0
S-000059,A-d49cc5,2024-10,new,3675.0,3675.0,0.0
S-00005b,A-560d27,2024-06,new,1127.0,1127.0,0.0
S-00005c,A-5fe118,2024-12,new,7761.0,7761.0,0.0
S-00005c,A-5fe118,2025-01,churn,-7761.0,0.0,7761.0
S-00005d,A-075038,2023-11,new,833.0,833.0,0.0
S-00005d,A-075038,2024-10,churn,-833.0,0.0,833.0
S-00005e,A-1e6fc3,2024-04,new,245.0,245.0,0.0
S-00005f,A-66224b,2024-12,new,1748.0,1748.0,0.0
S-000060,A-00cac8,2024-09,new,392.0,392.0,0.0
