subscription_id,account_id,feature_name,usage_month,usage_count,usage_duration_secs,first_use_date,last_use_date,error_count,is_beta_feature,duration_per_use,account_feature_rank
S-001561,A-1b7577,feature_10,2023-12,9,3564,2023-12-31,2023-12-31,0,False,396.0,2.0
S-001561,A-1b7577,feature_26,2023-05,8,4384,2023-05-28,2023-05-28,0,False,548.0,3.0
S-001561,A-1b7577,feature_36,2023-03,8,1872,2023-03-18,2023-03-18,0,False,234.0,1.0
S-001561,A-1b7577,feature_39,2024-06,16,6048,2024-06-25,2024-06-25,0,False,378.0,1.0
S-001561,A-1b7577,feature_4,2023-05,15,8760,2023-05-20,2023-05-20,3,False,584.0,1.0
S-0027d3,A-e693b6,feature_16,2023-01,24,12528,2023-01-15,2023-01-15,0,False,522.0,1.0
S-0027d3,A-e693b6,feature_23,2023-05,16,5136,2023-05-06,2023-05-06,0,False,321.0,1.0
S-0027d3,A-e693b6,feature_23,2024-12,4,1680,2024-12-31,2024-12-31,0,False,420.0,3.0
S-0027d3,A-e693b6,feature_24,2024-08,8,4072,2024-08-09,2024-08-09,0,False,509.0,1.0
S-003647,A-e36807,feature_11,2023-10,11,176,2023-10-06,2023-10-06,0,True,16.0,2.0
S-003647,A-e36807,feature_14,2023-07,7,3395,2023-07-04,2023-07-04,0,False,485.0,3.0
S-003647,A-e36807,feature_24,2023-01,7,1428,2023-01-22,2023-01-22,2,True,204.0,3.0
S-003647,A-e36807,feature_29,2023-05,11,1551,2023-05-30,2023-05-30,1,False,141.0,2.0
S-003647,A-e36807,feature_30,2023-12,7,973,2023-12-26,2023-12-26,0,False,139.0,1.0
S-003647,A-e36807,feature_31,2023-05,9,1755,2023-05-19,2023-05-19,0,False,195.0,4.0
S-003647,A-e36807,feature_32,2024-12,12,2256,2024-12-29,2024-12-29,0,False,188.0,1.0
S-003647,A-e36807,feature_38,2023-06,14,2968,2023-06-02,2023-06-02,0,False,212.0,1.0
S-003fc0,A-65c341,feature_12,2023-12,14,5656,2023-12-17,2023-12-17,0,False,404.0,1.0
S-003fc0,A-65c341,feature_26,2023-02,7,2625,2023-02-10,2023-02-10,0,False,375.0,1.0
S-003fc0,A-65c341,feature_39,2024-09,14,2996,2024-09-16,2024-09-16,1,False,214.0,1.0
S-003fc0,A-65c341,feature_4,2023-11,8,656,2023-11-06,2023-11-06,0,False,82.0,2.0
S-004d19,A-bece89,feature_33,2023-12,9,3996,2023-12-03,2023-12-03,0,False,444.0,1.0
S-004d19,A-bece89,feature_7,2024-12,9,1620,2024-12-07,2024-12-07,0,False,180.0,2.0
S-004eb4,A-ab438f,feature_12,2023-06,8,1496,2023-06-07,2023-06-07,1,False,187.0,2.0
S-004eb4,A-ab438f,feature_14,2024-09,10,3490,2024-09-27,2024-09-27,0,False,349.0,1.0
S-004eb4,A-ab438f,feature_14,2024-12,7,728,2024-12-25,2024-12-25,0,False,104.0,1.0
S-004eb4,A-ab438f,feature_15,2024-04,4,584,2024-04-18,2024-04-18,1,False,146.0,3.0
S-004eb4,A-ab438f,feature_2,2024-03,24,1752,2024-03-17,2024-03-17,0,False,73.0,1.0
S-004eb4,A-ab438f,feature_30,2024-04,16,5984,2024-04-23,2024-04-23,0,False,374.0,1.0
S-004eb4,A-ab438f,feature_39,2023-11,10,5960,2023-11-18,2023-11-18,0,False,596.0,1.0
S-004eb4,A-ab438f,feature_9,2024-03,13,2041,2024-03-23,2024-03-23,0,False,157.0,2.0
S-006908,A-d82ef9,feature_30,2024-11,13,403,2024-11-26,2024-11-26,1,False,31.0,2.0
S-006fed,A-ac9111,feature_29,2023-08,8,2016,2023-08-13,2023-08-13,0,False,252.0,2.0
S-006fed,A-ac9111,feature_3,2024-07,9,333,2024-07-21,2024-07-21,0,False,37.0,2.0
S-006fed,A-ac9111,feature_30,2024-03,12,7104,2024-03-11,2024-03-11,0,False,592.0,1.0
S-006fed,A-ac9111,feature_30,2024-09,11,6402,2024-09-13,2024-09-13,0,False,582.0,3.0
S-006fed,A-ac9111,feature_31,2023-01,11,2002,2023-01-23,2023-01-23,0,False,182.0,1.0
S-006fed,A-ac9111,feature_32,2023-10,10,4260,2023-10-31,2023-10-31,0,False,426.0,2.0
S-006fed,A-ac9111,feature_35,2024-05,12,2664,2024-05-17,2024-05-17,0,True,222.0,1.0
S-006fed,A-ac9111,feature_36,2023-04,20,11280,2023-04-01,2023-04-01,0,True,564.0,1.0
S-006fed,A-ac9111,feature_4,2024-09,8,3360,2024-09-05,2024-09-05,0,False,420.0,4.0
S-006fed,A-ac9111,feature_9,2023-04,13,5252,2023-04-18,2023-04-18,0,False,404.0,5.0
S-007e2c,A-cb5333,feature_15,2024-05,9,1953,2024-05-26,2024-05-26,0,False,217.0,3.0
