subscription_id,account_id,start_date,end_date,start_month,end_month,subscription_age_days,subscription_age_months,mrr_clean,arr_clean,lifetime_mrr,churned_mrr,is_churned,churn_date,churn_month,plan_tier,seat_bucket,seats,rev_change_flag,subscription_status,is_new,is_upgrade,is_downgrade,dirty_row_flag,dirty_row_reason,dirty_row_reason_count
S-000001,A-503d5a,2024-05-01,2024-05-31,2024-05,2024-05,30,0,0.0,0.0,0.0,0.0,False,,NaT,Enterprise,01_to_10,7,unchanged,trial,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-000002,A-bbc346,2024-09-16,2024-11-03,2024-09,2024-11,48,2,3781.0,45372.0,7562.0,3781.0,True,2024-11-03,2024-11,Enterprise,11_to_25,19,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000003,A-781cc0,2024-09-24,2024-12-09,2024-09,2024-12,76,3,646.0,7752.0,1938.0,646.0,True,2024-12-09,2024-12,Basic,26_to_50,34,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000004,A-9b9fe9,2024-08-17,2024-09-04,2024-08,2024-09,18,1,245.0,2940.0,245.0,245.0,True,2024-09-04,2024-09,Pro,01_to_10,5,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000005,A-faa28c,2024-06-06,2024-08-20,2024-06,2024-08,75,2,9552.0,114624.0,19104.0,9552.0,True,2024-08-20,2024-08,Enterprise,26_to_50,48,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000006,A-dcc3f1,2024-10-29,,2024-10,NaT,415,14,4179.0,50148.0,58506.0,4179.0,True,2024-10-10,2024-10,Enterprise,11_to_25,21,contraction,churned,False,False,True,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000007,A-bb2f49,2024-12-07,,2024-12,NaT,376,12,152.0,1824.0,1824.0,0.0,False,,NaT,Basic,01_to_10,8,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000008,A-054577,2024-07-17,,2024-07,NaT,519,17,597.0,7164.0,10149.0,0.0,False,,NaT,Enterprise,01_to_10,3,contraction,active,False,False,True,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000009,A-d82ef9,2024-07-30,2024-08-06,2024-07,2024-08,7,1,2842.0,34104.0,2842.0,2842.0,True,2024-08-06,2024-08,Pro,50+,58,expansion,churned,False,True,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00000a,A-a33200,2024-11-16,,2024-11,NaT,397,13,1764.0,21168.0,22932.0,1764.0,True,2024-10-07,2024-10,Pro,26_to_50,36,expansion,churned,False,True,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00000b,A-a6d261,2023-12-13,2024-03-10,2023-12,2024-03,88,3,171.0,2052.0,513.0,171.0,True,2024-03-10,2024-03,Basic,01_to_10,9,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00000c,A-dcc2f0,2023-11-29,2024-04-10,2023-11,2024-04,133,5,2985.0,35820.0,14925.0,2985.0,True,2024-04-10,2024-04,Enterprise,11_to_25,15,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00000d,A-82d8a6,2024-12-22,2024-12-29,2024-12,2024-12,7,0,608.0,7296.0,0.0,608.0,True,2024-12-29,2024-12,Basic,26_to_50,32,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00000e,A-9f9299,2024-04-04,2024-10-08,2024-04,2024-10,187,6,532.0,6384.0,3192.0,532.0,True,2024-10-08,2024-10,Basic,26_to_50,28,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00000f,A-700ade,2024-11-20,2024-12-04,2024-11,2024-12,14,1,1791.0,21492.0,1791.0,1791.0,True,,NaT,Enterprise,01_to_10,9,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000010,A-a8b49c,2024-03-23,2024-06-17,2024-03,2024-06,86,3,1393.0,16716.0,4179.0,1393.0,True,2024-06-17,2024-06,Enterprise,01_to_10,7,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000011,A-f03140,2024-07-10,2024-10-03,2024-07,2024-10,85,3,722.0,8664.0,2166.0,722.0,True,2024-10-03,2024-10,Basic,26_to_50,38,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000012,A-794a0b,2024-06-02,2024-09-09,2024-06,2024-09,99,3,0.0,0.0,0.0,0.0,True,2024-09-09,2024-09,Pro,11_to_25,23,unchanged,churned,False,False,False,True,"[""end_date_derived""]",1
S-000013,A-eb7c38,2024-09-02,,2024-09,NaT,472,15,2985.0,35820.0,44775.0,2985.0,True,2024-03-22,2024-03,Enterprise,11_to_25,15,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000014,A-bcbe98,2024-10-24,2024-11-25,2024-10,2024-11,32,1,9154.0,109848.0,9154.0,9154.0,True,2024-11-25,2024-11,Enterprise,26_to_50,46,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000015,A-e61e98,2024-01-15,2024-10-19,2024-01,2024-10,278,9,361.0,4332.0,3249.0,361.0,True,2024-10-19,2024-10,Basic,11_to_25,19,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000016,A-2bc93d,2024-03-26,2024-08-15,2024-03,2024-08,142,5,1805.0,21660.0,9025.0,1805.0,True,2024-08-15,2024-08,Basic,50+,95,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000017,A-524364,2024-12-31,,2024-12,NaT,352,12,539.0,6468.0,6468.0,0.0,False,,NaT,Pro,11_to_25,11,unchanged,active,True,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000018,A-59f724,2024-08-24,2024-09-23,2024-08,2024-09,30,1,0.0,0.0,0.0,0.0,False,,NaT,Basic,01_to_10,3,unchanged,trial,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-000019,A-ba6516,2024-05-10,2024-06-09,2024-05,2024-06,30,1,0.0,0.0,0.0,0.0,True,2024-03-17,2024-03,Basic,26_to_50,27,unchanged,churned,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-00001a,A-751c58,2024-10-11,2024-12-16,2024-10,2024-12,66,2,2205.0,26460.0,4410.0,2205.0,True,2024-12-16,2024-12,Pro,26_to_50,45,expansion,churned,False,True,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00001b,A-e6afc1,2024-08-30,,2024-08,NaT,475,16,98.0,1176.0,1568.0,0.0,False,,NaT,Pro,01_to_10,2,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00001c,A-ed510f,2024-04-09,,2024-04,NaT,618,20,8358.0,100296.0,167160.0,8358.0,True,2023-05-05,2023-05,Enterprise,26_to_50,42,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00001d,A-9bfc9f,2024-01-01,,2024-01,NaT,717,23,1007.0,12084.0,23161.0,0.0,False,,NaT,Basic,50+,53,expansion,active,False,True,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00001e,A-b07b56,2024-11-20,2024-12-24,2024-11,2024-12,34,1,1225.0,14700.0,1225.0,1225.0,True,2024-12-24,2024-12,Pro,11_to_25,25,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00001f,A-625d0b,2024-11-22,,2024-11,NaT,391,13,441.0,5292.0,5733.0,0.0,False,,NaT,Pro,01_to_10,9,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000020,A-700ade,2024-11-25,,2024-11,NaT,388,13,133.0,1596.0,1729.0,0.0,False,,NaT,Basic,01_to_10,7,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000021,A-acb7f7,2024-02-16,2024-03-21,2024-02,2024-03,34,1,6368.0,76416.0,6368.0,6368.0,True,2024-03-21,2024-03,Enterprise,26_to_50,32,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000022,A-f03140,2024-07-17,2024-10-03,2024-07,2024-10,78,3,5373.0,64476.0,16119.0,5373.0,True,2024-10-03,2024-10,Enterprise,26_to_50,27,contraction,churned,False,False,True,True,"[""end_date_derived"", ""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",3
S-000023,A-956988,2024-12-05,2024-12-30,2024-12,2024-12,25,0,10945.0,131340.0,0.0,10945.0,True,2024-12-30,2024-12,Enterprise,50+,55,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000024,A-3932db,2023-12-10,,2023-12,NaT,739,24,437.0,5244.0,10488.0,0.0,False,,NaT,Basic,11_to_25,23,unchanged,active,True,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000025,A-241e75,2024-09-08,2024-12-19,2024-09,2024-12,102,3,266.0,3192.0,798.0,266.0,True,2024-12-19,2024-12,Basic,11_to_25,14,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000026,A-075038,2023-11-30,2024-09-05,2023-11,2024-09,280,10,0.0,0.0,0.0,0.0,True,2024-09-05,2024-09,Pro,11_to_25,23,expansion,churned,False,True,False,True,"[""end_date_derived""]",1
S-000027,A-55f257,2024-08-19,,2024-08,NaT,486,16,4179.0,50148.0,66864.0,0.0,False,,NaT,Enterprise,11_to_25,21,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000028,A-b48f73,2024-12-06,2025-01-05,2024-12,2025-01,30,1,0.0,0.0,0.0,0.0,False,,NaT,Enterprise,50+,80,unchanged,trial,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-000029,A-39ddf4,2024-12-21,,2024-12,NaT,362,12,1960.0,23520.0,23520.0,1960.0,True,2024-12-13,2024-12,Pro,26_to_50,40,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00002a,A-54d94a,2024-02-24,,2024-02,NaT,663,22,1323.0,15876.0,29106.0,1323.0,True,,NaT,Pro,26_to_50,27,contraction,churned,False,False,True,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00002b,A-aa9511,2024-02-09,,2024-02,NaT,678,22,19303.0,231636.0,424666.0,19303.0,True,2023-10-17,2023-10,Enterprise,50+,97,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00002c,A-0aaf6e,2024-12-26,,2024-12,NaT,357,12,3582.0,42984.0,42984.0,0.0,False,,NaT,Enterprise,11_to_25,18,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00002d,A-832ec2,2024-04-07,2024-09-15,2024-04,2024-09,161,5,228.0,2736.0,1140.0,228.0,True,2024-09-15,2024-09,Basic,11_to_25,12,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00002e,A-eafc6e,2024-09-01,2024-12-12,2024-09,2024-12,102,3,1323.0,15876.0,3969.0,1323.0,True,2024-12-12,2024-12,Pro,26_to_50,27,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00002f,A-ff79f2,2024-07-28,,2024-07,NaT,508,17,490.0,5880.0,8330.0,0.0,False,,NaT,Pro,01_to_10,10,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000030,A-8e47ca,2024-04-29,2024-12-31,2024-04,2024-12,246,8,3781.0,45372.0,30248.0,3781.0,True,2024-12-31,2024-12,Enterprise,11_to_25,19,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000031,A-55f257,2024-01-18,,2024-01,NaT,700,23,441.0,5292.0,10143.0,0.0,False,,NaT,Pro,01_to_10,9,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000032,A-0532a9,2024-09-26,2024-10-09,2024-09,2024-10,13,1,361.0,4332.0,361.0,361.0,True,2024-10-09,2024-10,Basic,11_to_25,19,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000033,A-432483,2023-12-13,,2023-12,NaT,736,24,11940.0,143280.0,286560.0,0.0,False,,NaT,Enterprise,50+,60,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000034,A-6da850,2024-08-05,2024-10-25,2024-08,2024-10,81,2,0.0,0.0,0.0,0.0,True,2024-10-25,2024-10,Basic,11_to_25,18,expansion,churned,False,True,False,True,"[""end_date_derived""]",1
S-000035,A-cc102e,2024-11-06,2024-11-19,2024-11,2024-11,13,0,637.0,7644.0,0.0,637.0,True,2024-11-19,2024-11,Pro,11_to_25,13,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000036,A-54ecc2,2023-11-26,2024-11-23,2023-11,2024-11,363,12,76.0,912.0,912.0,76.0,True,2024-11-23,2024-11,Basic,01_to_10,4,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000037,A-f19409,2024-12-20,,2024-12,NaT,363,12,665.0,7980.0,7980.0,665.0,True,2023-05-25,2023-05,Basic,26_to_50,35,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000038,A-54ecc2,2024-10-30,2024-11-23,2024-10,2024-11,24,1,5572.0,66864.0,5572.0,5572.0,True,2024-11-23,2024-11,Enterprise,26_to_50,28,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",3
S-000039,A-0b0d6d,2024-12-30,2024-12-31,2024-12,2024-12,1,0,7164.0,85968.0,0.0,7164.0,True,2024-12-31,2024-12,Enterprise,26_to_50,36,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00003a,A-7e0a10,2024-12-30,,2024-12,NaT,353,12,13930.0,167160.0,167160.0,13930.0,True,2024-09-26,2024-09,Enterprise,50+,70,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00003b,A-2e4581,2024-12-22,,2024-12,NaT,361,12,836.0,10032.0,10032.0,836.0,True,2024-12-05,2024-12,Basic,26_to_50,44,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00003c,A-c42f1f,2024-11-13,,2024-11,NaT,400,13,532.0,6384.0,6916.0,0.0,False,,NaT,Basic,26_to_50,28,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00003d,A-855a48,2024-05-08,2024-08-01,2024-05,2024-08,85,3,266.0,3192.0,798.0,266.0,True,2024-08-01,2024-08,Basic,11_to_25,14,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00003e,A-e89151,2024-05-23,,2024-05,NaT,574,19,152.0,1824.0,2888.0,0.0,False,,NaT,Basic,01_to_10,8,expansion,active,False,True,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-00003f,A-544d0a,2024-12-07,,2024-12,NaT,376,12,38.0,456.0,456.0,0.0,False,,NaT,Basic,01_to_10,2,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000040,A-bb1eaa,2024-07-28,2024-08-15,2024-07,2024-08,18,1,399.0,4788.0,399.0,399.0,True,2024-08-15,2024-08,Basic,11_to_25,21,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000041,A-bb1eaa,2024-12-12,,2024-12,NaT,371,12,1225.0,14700.0,14700.0,1225.0,True,2024-08-15,2024-08,Pro,11_to_25,25,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000042,A-0532a9,2024-11-26,,2024-11,NaT,387,13,1029.0,12348.0,13377.0,1029.0,True,2024-10-09,2024-10,Pro,11_to_25,21,expansion,churned,False,True,False,True,"[""mrr_arr_imputed_from_lookup""]",1
