account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,messiness_description
A-000001,Company_361,Cybersecurity,IN,2023-01-17,partner,Basic,42,False,False,no_issue
A-000002,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,no_issue
A-000003,Company_374,,US,2024-11-07,other,Enterprise,39,False,True,null_industry; inconsistent_churn_flag
A-712426,Company_155,HealthTech,US,2024-11-10,other,Enterprise,9,False,False,no_issue
A-9289f6,Company_104,,US,2023-05-31,event,Enterprise,1,False,True,null_industry; inconsistent_churn_flag
A-000004,Company_394,DevTools,FR,2023-11-13,event,Enterprise,20,False,True,no_issue
A-000005,Company_377,EdTech,US,2024-10-16,event,Pro,13,True,False,no_issue
A-000006,Company_124,DevTools,,2023-06-19,other,Enterprise,1,False,True,null_country
A-84ebe4,Company_68,,US,2023-03-12,ads,Pro,18,True,True,null_industry
A-000007,Company_450,Cybersecurity,DE,2023-03-22,partner,Enterprise,40,False,True,inconsistent_churn_flag
A-000008,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,no_issue
A-000009,Company_194,Cybersecurity,UK,2024-06-14,event,Enterprise,13,False,False,no_issue
A-bbe56f,Company_406,,US,2023-02-16,ads,Enterprise,21,False,False,null_industry
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,no_issue
A-00000a,Company_371,DevTools,US,2024-12-09,other,Pro,15,False,False,no_issue
A-00000b,Company_388,,FR,2024-12-31,partner,Enterprise,3,False,False,null_industry
A-00000c,Company_495,DevTools,CA,2024-06-28,ads,Pro,9,False,False,no_issue
A-396e5f,Company_30,Cybersecurity,,2024-10-02,other,Enterprise,2,False,False,null_country
A-00000d,Company_316,EdTech,UK,2024-10-22,other,Pro,41,False,False,no_issue
A-751bd4,Company_408,Cybersecurity,UK,2024-07-12,partner,Pro,10,False,False,no_issue
A-00000e,Company_490,DevTools,US,2024-10-18,event,Pro,16,False,False,no_issue
A-00000f,Company_491,DevTools,US,2024-01-22,other,Basic,10,False,False,no_issue
A-000010,Company_280,Cybersecurity,US,2024-09-06,other,Enterprise,1,False,True,no_issue
A-000011,Company_356,Cybersecurity,,2023-05-28,other,Pro,8,False,False,null_country
A-000012,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,no_issue
A-0158bb,Company_461,FinTech,DE,2024-05-22,partner,Basic,5,False,False,no_issue
A-d26ab4,Company_497,,UK,2024-11-07,organic,Basic,9,False,True,null_industry
A-000013,Company_211,HealthTech,US,2024-05-29,organic,Pro,15,True,False,no_issue
A-000014,Company_101,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False,no_issue
A-000015,Company_334,HealthTech,US,2023-05-15,ads,Basic,41,False,False,no_issue
A-e08cd3,Company_475,FinTech,US,2024-09-21,ads,Pro,67,True,False,no_issue
A-000016,Company_336,EdTech,US,2024-03-24,ads,Pro,5,False,False,no_issue
A-cc1d8d,Company_440,,US,2024-12-08,other,Pro,5,False,False,null_industry
A-000017,Company_173,FinTech,,2024-10-02,organic,Basic,3,False,True,null_country; inconsistent_churn_flag
A-000018,Company_2,DevTools,,2024-08-27,organic,Basic,1,False,False,null_country
A-000019,Company_333,HealthTech,US,2024-07-06,partner,Enterprise,11,False,True,inconsistent_churn_flag
A-00001a,Company_409,DevTools,US,2023-09-08,organic,Enterprise,6,False,True,inconsistent_churn_flag
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,no_issue
A-00001b,Company_209,DevTools,IN,2023-11-22,event,Pro,27,True,True,inconsistent_churn_flag
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,no_issue
A-00001c,Company_384,FinTech,US,2023-01-27,event,Enterprise,23,False,False,no_issue
A-00001d,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,no_issue
A-00001e,Company_485,EdTech,,2024-07-31,partner,Enterprise,53,False,False,null_country
A-00001f,Company_185,HealthTech,US,2024-11-21,organic,Enterprise,10,True,True,no_issue
A-000020,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,True,inconsistent_churn_flag
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,True,inconsistent_churn_flag
A-000021,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,no_issue
A-000022,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,no_issue
A-1e50e0,Company_415,Cybersecurity,DE,2023-02-21,other,Pro,19,True,True,no_issue
A-000023,Company_22,,US,2024-08-20,ads,Enterprise,3,False,True,null_industry
