usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,messiness_description
U-000001,S-9e5075,2024-05-01,feature_9,10,860,0,False,no_issue
U-000002,S-628729,2024-01-20,feature_3,5,1015,0,False,no_issue
U-000003,S-c7f25a,2024-12-13,,4,1096,0,False,null_feature_name
U-000004,S-5480a7,2024-04-15,feature_5,12,2700,1,False,no_issue
U-000005,S-f89d8c,2024-03-28,feature_1,10,2740,0,False,no_issue
U-000006,S-0b8b0c,2024-01-06,feature_31,13,3757,0,True,no_issue
U-000007,S-778307,2024-12-14,feature_1,9,3654,0,True,no_issue
U-000008,S-cb38be,2023-01-26,,7,-1,0,False,negative_usage_duration_secs; null_feature_name
U-58ccdc,S-d322a2,2024-07-11,feature_31,9,2376,0,False,no_issue
U-000009,S-80a6a6,2023-12-25,feature_18,7,3892,0,False,no_issue
U-00000a,S-1b7677,2023-07-25,feature_8,13,1911,1,False,no_issue
U-00000b,S-6f0169,2024-01-12,feature_23,14,6538,0,False,no_issue
U-00000c,S-57cd05,2024-09-15,feature_17,6,1164,0,True,no_issue
U-513d64,S-6d10f7,2023-07-24,feature_32,8,1568,0,False,no_issue
U-00000d,S-1c06f3,2023-09-22,,8,168,2,False,null_feature_name
U-00000e,S-3e6a40,2024-04-21,feature_30,9,-1,1,False,negative_usage_duration_secs
U-00000f,S-327e7c,2023-10-06,feature_6,8,4232,0,False,no_issue
U-000010,S-e977e4,2024-05-06,feature_19,15,1020,2,False,no_issue
U-ccdd45,S-02be35,2024-10-15,,11,1694,0,False,null_feature_name
U-000011,S-5f4cc6,2024-03-24,feature_34,14,-1,5,False,negative_usage_duration_secs
U-000012,S-9d78e2,2023-05-16,feature_18,11,4367,0,False,no_issue
U-000013,S-040422,2024-05-29,feature_31,7,-1,0,False,negative_usage_duration_secs
U-000014,S-d8c527,2023-01-03,feature_14,13,6968,2,False,no_issue
U-2f8a02,S-46ff9c,2024-10-16,feature_13,13,325,0,False,no_issue
U-000015,S-890baf,2023-04-05,feature_31,7,2611,0,False,no_issue
U-4e954a,S-2fe253,2024-02-15,,9,4446,0,False,null_feature_name
U-000016,S-34512a,2023-08-09,feature_38,13,1989,0,False,no_issue
U-000017,S-4977c8,2024-03-11,feature_31,12,2364,1,False,no_issue
U-000018,S-2c270f,2023-07-30,feature_21,8,1376,0,False,no_issue
U-6001b1,S-dec1fb,2023-03-27,feature_10,11,1562,0,True,no_issue
U-000019,S-bfc0f8,2024-01-08,feature_10,8,1968,0,False,no_issue
U-00001a,S-120ae3,2023-09-08,feature_7,12,3624,1,False,no_issue
U-00001b,S-207191,2023-04-13,feature_13,10,2670,1,False,no_issue
U-00001c,S-8c61f4,2023-07-24,feature_22,12,2808,0,False,no_issue
U-00001d,S-1b373c,2024-06-17,feature_22,-1,1536,0,False,negative_usage_count
U-00001e,S-69cc68,2023-06-11,feature_20,5,1055,0,False,no_issue
U-00001f,S-d2863b,2024-06-01,feature_6,15,1755,1,True,no_issue
U-000020,S-6ee525,2024-02-25,,6,1098,2,True,null_feature_name
U-000021,S-3cae3d,2023-01-25,feature_15,9,990,0,False,no_issue
U-000022,S-334ceb,2024-12-28,,7,154,0,False,null_feature_name
U-000023,S-c1f160,2024-06-03,feature_8,10,1820,0,False,no_issue
U-000024,S-79ef9b,2024-11-14,feature_24,11,5390,0,False,no_issue
U-000025,S-a0f3f7,2024-11-16,feature_23,15,1635,2,True,no_issue
U-838191,S-875645,2023-01-14,feature_26,-1,2664,0,False,negative_usage_count
U-eb37e8,S-2aec7e,2024-12-31,feature_28,6,510,0,False,no_issue
U-000026,S-d9e0d1,2024-06-20,feature_11,7,910,0,False,no_issue
U-000027,S-69b070,2023-03-08,feature_29,5,-1,0,False,negative_usage_duration_secs
U-000028,S-9a8f71,2023-07-24,feature_28,7,1309,2,False,no_issue
U-7d73f6,S-9daaad,2024-04-21,feature_31,15,4875,0,False,no_issue
U-10d77c,S-c62428,2024-01-18,feature_40,15,7845,0,False,no_issue
U-000029,S-40d87e,2023-04-19,feature_30,6,2070,0,False,no_issue
U-c8edad,S-718f18,2023-05-13,feature_28,10,770,1,False,no_issue
U-00002a,S-5631a9,2024-01-25,feature_10,10,2350,0,False,no_issue
U-00002b,S-0bd442,2023-02-27,feature_23,14,4326,1,False,no_issue
U-00002c,S-7ff88c,2023-12-18,feature_6,4,1884,0,True,no_issue
U-00002d,S-711820,2023-12-08,feature_21,8,-1,0,False,negative_usage_duration_secs
U-1bdf42,S-3b29ea,2024-01-11,feature_26,14,3374,1,True,no_issue
U-00002e,S-dbee03,2023-01-31,feature_11,14,6482,0,False,no_issue
U-00002f,S-0b25d7,2023-06-12,,9,-1,0,False,negative_usage_duration_secs; null_feature_name
U-000030,S-c6c2f6,2024-01-29,feature_28,17,459,0,False,no_issue
U-000031,S-86e45a,2023-09-24,,-1,4830,0,False,negative_usage_count; null_feature_name
U-000032,S-4e762d,2024-10-31,feature_40,17,10013,0,False,no_issue
U-000033,S-049667,2023-01-07,feature_2,14,4480,0,False,no_issue
U-000034,S-8cec59,2024-02-19,feature_38,12,5580,0,False,no_issue
U-000035,S-f421c8,2023-06-13,feature_6,5,850,1,False,no_issue
U-2f0e44,S-50aaaa,2024-06-10,feature_13,13,1079,0,False,no_issue
U-000036,S-b37d03,2024-08-18,feature_38,10,-1,0,False,negative_usage_duration_secs
U-d40ae8,S-c7b793,2023-08-31,feature_27,9,3177,0,False,no_issue
U-000037,S-618471,2024-09-04,feature_24,13,2600,2,False,no_issue
U-43463f,S-1f149a,2023-08-20,feature_15,16,7024,2,False,no_issue
U-aa0fce,S-0a6b6b,2023-11-28,feature_25,11,6138,0,True,no_issue
U-000038,S-295bac,2023-01-26,feature_25,11,1012,0,False,no_issue
U-000039,S-28a2b2,2024-03-13,feature_15,9,3501,0,False,no_issue
U-33fcf1,S-d3f138,2024-04-28,,10,910,0,False,null_feature_name
U-00003a,S-0c47cb,2024-09-07,feature_39,15,1275,0,False,no_issue
U-00003b,S-b8a3b6,2023-02-20,feature_35,8,3968,0,False,no_issue
U-c23e1a,S-07c505,2024-05-19,feature_18,11,4895,1,False,no_issue
U-00003c,S-c3d6a2,2023-06-11,feature_40,14,5530,0,False,no_issue
U-00003d,S-f4059b,2023-12-22,feature_30,10,2980,3,False,no_issue
U-00003e,S-1f4c01,2023-09-16,feature_39,17,6273,1,False,no_issue
U-00003f,S-57f1a7,2024-10-12,feature_28,18,-1,0,False,negative_usage_duration_secs
U-000040,S-04d260,2024-07-28,feature_18,15,7275,0,False,no_issue
U-000041,S-866608,2023-10-25,feature_5,10,2540,1,False,no_issue
U-000042,S-9d36ff,2024-10-02,feature_34,4,400,2,False,no_issue
U-eaa0f6,S-1b6221,2023-01-25,,10,5040,0,False,null_feature_name
U-000043,S-a525b3,2024-10-29,feature_37,-1,4983,0,False,negative_usage_count
