subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,messiness_description
S-2a9676,A-92a3af,2024-07-23,,Pro,25,1225.0,14700.0,False,False,False,False,annual,True,no_issue
S-000001,A-503d5a,2024-05-01,,Enterprise,7,,0.0,True,False,False,False,monthly,True,null_mrr_amount
S-164594,A-c42f1f,2024-10-26,,Basic,15,285.0,3420.0,False,False,False,False,annual,False,no_issue
S-000002,A-bbc346,2024-09-16,,Enterprise,19,3781.0,45372.0,False,False,False,True,annual,True,flipped_churn_flag
S-000003,A-781cc0,2024-09-24,,Basic,34,646.0,7752.0,False,False,False,False,annual,True,no_issue
S-000004,A-9b9fe9,2024-08-17,,Pro,5,245.0,2940.0,False,False,False,False,monthly,True,no_issue
S-000005,A-faa28c,2024-06-06,,Enterprise,48,9552.0,114624.0,False,False,False,True,monthly,False,flipped_churn_flag
S-000006,A-dcc3f1,2024-10-29,,Enterprise,21,4179.0,50148.0,False,False,True,False,monthly,True,no_issue
S-000007,A-bb2f49,2024-12-07,,Basic,8,152.0,1824.0,False,False,False,False,annual,True,no_issue
S-d6106b,A-0a282f,2024-10-16,,Basic,6,114.0,1368.0,False,False,False,False,monthly,True,null_end_date
S-000008,A-054577,2024-07-17,,Enterprise,3,597.0,,False,False,True,False,annual,True,null_arr_amount
S-80c291,A-712533,2024-01-06,,Enterprise,18,3582.0,42984.0,False,False,False,False,annual,True,no_issue
S-000009,A-d82ef9,2024-07-30,,Pro,58,2842.0,34104.0,False,True,False,False,annual,True,no_issue
S-00000a,A-a33200,2024-11-16,,Pro,36,1764.0,,False,True,False,False,annual,True,null_arr_amount
S-00000b,A-a6d261,2023-12-13,,Basic,9,171.0,2052.0,False,False,False,False,monthly,True,no_issue
S-d6dc7a,A-0e966d,2024-10-02,,Pro,11,539.0,6468.0,False,False,False,False,monthly,False,no_issue
S-00000c,A-dcc2f0,2023-11-29,,Enterprise,15,2985.0,35820.0,False,False,False,False,monthly,True,no_issue
S-c4cef7,A-2e4581,2024-10-25,,Pro,13,637.0,7644.0,False,False,False,False,annual,False,no_issue
S-0386c2,A-0f6450,2024-12-28,,Enterprise,28,5572.0,66864.0,False,False,False,False,annual,True,null_end_date
S-6ff09c,A-d62e02,2024-12-11,,Basic,16,304.0,3648.0,False,False,False,True,annual,True,flipped_churn_flag
S-00000d,A-82d8a6,2024-12-22,,Basic,32,608.0,7296.0,False,False,False,False,annual,True,no_issue
S-00000e,A-9f9299,2024-04-04,,Basic,28,532.0,6384.0,False,False,False,False,monthly,True,no_issue
S-0adca9,A-b3fe05,2024-10-07,,Basic,55,1045.0,12540.0,False,False,False,False,monthly,True,no_issue
S-45baac,A-1d5444,2024-05-31,,Enterprise,24,4776.0,57312.0,False,False,False,True,monthly,False,flipped_churn_flag
S-d914d8,A-ee42db,2023-06-30,,Pro,13,0.0,0.0,True,False,True,False,monthly,True,no_issue
S-992c2a,A-d922bf,2024-08-11,,Enterprise,26,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-00000f,A-700ade,2024-11-20,2024-12-04,Enterprise,9,1791.0,21492.0,False,False,False,True,annual,True,no_issue
S-000010,A-a8b49c,2024-03-23,,Enterprise,7,1393.0,16716.0,False,False,False,False,monthly,True,no_issue
S-000011,A-f03140,2024-07-10,,Basic,38,,8664.0,False,False,False,False,monthly,True,null_mrr_amount
S-000012,A-794a0b,2024-06-02,,Pro,23,0.0,,True,False,False,False,annual,False,null_arr_amount
S-0638dc,A-9779ad,2024-04-07,,Enterprise,40,7960.0,95520.0,False,False,False,False,annual,True,no_issue
S-b6f87e,A-8b25f2,2024-09-30,,Basic,10,190.0,2280.0,False,False,False,False,annual,True,no_issue
S-000013,A-eb7c38,2024-09-02,,Enterprise,15,2985.0,35820.0,False,False,False,True,annual,True,null_end_date
S-8669e4,A-6dee43,2024-08-11,2024-10-23,Pro,55,2695.0,32340.0,False,False,False,True,annual,False,no_issue
S-000014,A-bcbe98,2024-10-24,,Enterprise,46,9154.0,,False,False,False,False,annual,True,null_arr_amount
S-000015,A-e61e98,2024-01-15,,Basic,19,361.0,4332.0,False,False,False,False,monthly,True,no_issue
